Title: test

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
10000.00 923.15 0.544764 34.4871 0.0125203 3.76104 0.0468327 0.394329 0.406165 23.4625 0.105354 0.641463 7.25339 0.235134 0 29.1941
10000.00 922.15 0.543324 34.3845 0.0122393 3.73219 0.0463385 0.395085 0.400662 23.5247 0.105526 0.638082 7.25654 0.232697 0 29.2715
10000.00 921.15 0.541904 34.2827 0.0119647 3.7035 0.0458468 0.395841 0.395207 23.5864 0.105699 0.634722 7.25962 0.230291 0 29.3482
10000.00 920.15 0.540501 34.1818 0.0116962 3.67497 0.0453578 0.396597 0.389801 23.6476 0.105873 0.631382 7.26263 0.227915 0 29.4244
10000.00 919.15 0.539116 34.0818 0.0114337 3.6466 0.0448715 0.397352 0.384442 23.7083 0.106048 0.628062 7.26558 0.225569 0 29.5
10000.00 918.15 0.537749 33.9826 0.0111771 3.61839 0.0443878 0.398107 0.379133 23.7686 0.106224 0.624762 7.26846 0.223251 0 29.575
10000.00 917.15 0.536399 33.8842 0.0109262 3.59034 0.0439069 0.398862 0.373871 23.8284 0.106401 0.621482 7.27128 0.220962 0 29.6494
10000.00 916.15 0.535066 33.7866 0.0106809 3.56244 0.0434288 0.399616 0.368659 23.8878 0.106578 0.618223 7.27404 0.218701 0 29.7233
10000.00 915.15 0.533749 33.6898 0.010441 3.53471 0.0429535 0.40037 0.363495 23.9467 0.106756 0.614983 7.27673 0.216467 0 29.7966
10000.00 914.15 0.532449 33.5938 0.0102065 3.50713 0.042481 0.401123 0.35838 24.0052 0.106934 0.611764 7.27936 0.21426 0 29.8694
10000.00 913.15 0.531164 33.4986 0.00997716 3.4797 0.0420114 0.401876 0.353314 24.0632 0.107113 0.608564 7.28194 0.212079 0 29.9416
10000.00 912.15 0.529895 33.4041 0.00975292 3.45242 0.0415446 0.402628 0.348297 24.1209 0.107293 0.605384 7.28446 0.209924 0 30.0133
