,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
125,MB3,10.0,1623,50.4,1.24,15.4,9.14,9.12,11.22,2.49,0.0,0.12,0.0,1778,-8.05,,,,,,,,1349.85
126,MB5,10.0,1723,52.9,1.31,16.16,4.4,9.72,12.03,2.52,0.1,0.11,0.0,1770,-7.34,,,,,,,,1449.85
127,MB4,10.0,1673,50.6,1.27,15.51,8.37,9.33,11.38,2.47,0.0,0.1,0.0,1752,-7.68,,,,,,,,1399.85
128,MB1,10.0,1523,50.0,1.28,16.05,9.9,8.48,11.02,2.59,0.0,0.12,0.0,1214,-8.87,,,,,,,,1249.85
129,yn40,10.0,1703,58.5,0.82,15.95,8.24,1.96,5.58,4.07,1.96,0.37,0.0,1070,-7.47,,,,,,,,1429.85
130,yn28,10.0,1623,59.9,0.75,16.24,8.42,2.02,5.3,4.17,1.96,0.36,0.0,1055,-8.06,,,,,,,,1349.85
131,yn18,10.0,1673,60.5,0.79,16.19,7.94,1.97,5.57,4.21,2.01,0.37,0.0,1002,-7.68,,,,,,,,1399.85
132,yn73,10.0,1523,63.2,0.54,17.35,5.2,1.79,5.1,4.27,1.8,0.0,0.0,921,-5.71,,,,,,,,1249.85
133,yn20,10.0,1523,60.0,0.78,16.11,8.24,1.98,5.43,4.13,1.95,0.36,0.0,834,-8.87,,,,,,,,1249.85
134,yn50,10.0,1598,60.2,0.8,16.02,7.83,1.92,5.59,4.19,2.02,0.36,0.0,828,-8.25,,,,,,,,1324.85
135,TS15,10.0,1723,63.6,0.52,17.76,4.68,1.77,5.45,5.84,1.75,0.0,0.0,786,-7.34,,,,,,,,1449.85
136,yn4,10.0,1573,60.0,0.83,15.86,8.06,2.02,5.63,4.06,2.0,0.38,0.0,768,-8.45,,,,,,,,1299.85
137,yn2,10.0,1523,60.3,0.76,16.01,8.01,1.95,5.58,4.13,2.0,0.37,0.0,739,-8.87,,,,,,,,1249.85
138,yn36,10.0,1523,60.1,0.8,16.01,8.3,1.98,5.69,4.08,2.01,0.37,0.0,737,-8.87,,,,,,,,1249.85
139,yn12,5.0,1523,59.6,0.85,15.96,8.4,1.94,5.44,3.93,2.0,0.37,0.0,726,-9.43,,,,,,,,1249.85
140,yn35,10.0,1523,59.3,0.8,15.94,8.25,1.97,5.6,4.05,2.01,0.37,0.0,700,-8.87,,,,,,,,1249.85
141,TS13,10.0,1673,63.7,0.52,17.64,4.77,1.7,5.36,4.45,1.78,0.0,0.0,697,-7.68,,,,,,,,1399.85
142,yn38,5.0,1523,60.6,0.8,16.3,8.23,2.0,5.73,4.0,1.99,0.38,0.0,681,-9.43,,,,,,,,1249.85
143,yn96,10.0,1423,58.2,0.8,16.0,9.14,2.1,5.94,4.03,1.89,0.39,0.0,577,-9.79,,,,,,,,1149.85
144,TS11,10.0,1623,62.1,0.52,17.83,4.59,1.7,5.34,5.91,1.8,0.0,0.0,546,-8.06,,,,,,,,1349.85
145,TS16,10.0,1723,75.7,0.1,13.06,0.79,0.07,0.57,5.27,4.73,0.0,0.0,499,-7.34,,,,,,,,1449.85
146,TS3,10.0,1523,63.4,0.52,17.68,4.59,1.79,5.46,4.43,1.75,0.0,0.0,466,-8.87,,,,,,,,1249.85
147,TS7,10.0,1573,63.2,0.54,17.82,4.95,1.77,5.44,5.17,1.78,0.0,0.0,438,-8.45,,,,,,,,1299.85
148,yn64,10.0,1673,53.1,1.05,18.86,8.77,3.43,7.9,3.98,0.97,0.24,0.0,1968,-7.68,,,,,,,,1399.85
149,TS14,10.0,1673,76.1,0.11,13.03,0.78,0.07,0.57,4.0,4.68,0.0,0.0,323,-7.68,,,,,,,,1399.85
150,TS6,10.0,1523,75.9,0.11,13.03,0.73,0.07,0.57,4.19,4.74,0.0,0.0,172,-8.87,,,,,,,,1249.85
151,TS4,10.0,1523,75.6,0.11,13.03,0.7,0.07,0.56,4.17,4.71,0.0,0.0,155,-8.87,,,,,,,,1249.85
152,TS2,10.0,1523,75.5,0.12,12.93,0.73,0.08,0.55,4.23,4.62,0.0,0.0,144,-8.87,,,,,,,,1249.85
