,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
90,,15.0,1573.15,47.68365560067313,0.6510592850170976,15.416416520300938,7.701705549373966,5.841010692032931,12.525534634488539,1.9743280860617354,0.3623126529614921,,4.2353009178674785,13682.041605552666,,,,,,,,,1300.0
91,,25.0,1573.15,49.867496931237724,0.8511873946831585,15.321959725519928,7.809248376892403,4.183782562977455,12.087476956785082,2.2348802046134826,0.46504397459343483,,4.137146175742919,11573.881415365518,,,,,,,,,1300.0
92,,10.0,1573.15,47.707532593989754,0.7779833043259381,15.10542849525311,7.961660558829813,5.534478504443844,13.013749670872324,1.8267206960450038,0.3053642429069881,,4.004179714474497,14309.781664571945,,,,,,,,,1300.0
93,,15.0,1523.15,51.0328006558107,0.8167272212045462,15.373093544110356,7.089435172909352,6.664372678602152,10.48689896669332,1.9148053314981432,0.3592790130453704,,4.07857583823336,8066.058766099443,,,,,,,,,1250.0
94,,20.0,1573.15,49.788144437486956,0.42579837194740133,15.548945940304737,7.872051763723648,6.038405343352117,9.720308912544354,1.7772907534961386,0.3339595074097266,,4.205802546441244,16677.138617696517,,,,,,,,,1300.0
95,,20.0,1523.15,52.76626364382645,0.3303908949944766,16.052335539317532,8.024647566154188,5.591308489829839,8.359092337160867,2.166796728522058,0.39119903517750904,,4.084280082293683,8430.469786104273,,,,,,,,,1250.0
96,,20.0,1548.15,51.76895379885104,0.40456347600938586,15.436119427138117,8.68800064730156,5.894489845456752,8.725422768832429,2.122946840359252,0.38332389351889307,,4.0759770207945625,9531.328049024809,,,,,,,,,1275.0
97,,25.0,1473.15,56.768003994537594,0.3726831381183564,15.442286752452974,7.493818693714019,3.5319171975671826,7.767691169304627,2.534485973999411,0.5072882263410879,,4.242692222081853,4950.047746576989,,,,,,,,,1200.0
98,,15.0,1473.15,54.699789278715805,0.3078611118567632,15.779098327651461,7.48010227364239,5.250919389042493,8.477840710815235,2.2912584221404986,0.3816806700131532,,4.0567202641398,4329.912360092028,,,,,,,,,1200.0
99,,10.0,1473.15,63.33136169123505,3.402745740602281,12.987529484244458,4.615377940651162,1.858501658059412,4.83592225848951,3.0926821226052863,5.430741130141394,,0.0,1776.9949515323103,,,,,,,,,1200.0
100,,10.0,1473.15,54.05971455684958,0.4411210309579145,15.16624369698134,7.911290474010115,5.824559781721643,8.762044525202688,2.076764303573312,0.37121186953563856,,4.07466413992232,4480.381161853145,,,,,,,,,1200.0
101,,15.0,1473.15,63.1234778634023,3.4338687445095952,13.015848075590819,4.6968582386424504,1.8144939543055485,4.92754451245206,3.1860416949370434,5.343922523693552,,0.0,1828.3561943501154,,,,,,,,,1200.0
102,,5.0,1473.15,60.161538381058996,5.493769682259027,12.873897531936265,4.460091440767517,3.516389240539439,6.482459903118822,2.0537554534897104,4.262353396595557,,0.0,2727.8106963990367,,,,,,,,,1200.0
103,,5.0,1473.15,68.6009814300555,0.08025798603043227,19.339273742272837,0.04875033946387009,0.09623935113713888,0.4938741585520106,3.2039980433448494,8.03754568505689,,0.0,359.33049386725287,,,,,,,,,1200.0
104,,25.0,1323.15,68.1990198023134,0.04585828757941315,19.11396603783807,0.09668317670172304,0.0794656246863477,0.3710051352543857,3.35278714822482,8.57549977735026,,0.0,229.60786015837724,,,,,,,,,1050.0
105,,2.0,1123.15,60.2,0.43,17.33,1.49,0.23,1.55,4.59,5.54,,8.54,424.5322375159251,,,,,,,,,850.0000000000001
106,,2.02,1123.15,60.54,0.46,17.98,1.55,0.32,2.04,3.42,4.76,,8.77,632.793335165247,,,,,,,,,850.0000000000001
107,,2.02,1173.15,59.54,0.4,18.27,1.6,0.74,2.57,5.3,4.54,,6.81,909.1397916614623,,,,,,,,,900.0000000000001
108,,2.02,1173.15,59.08,0.44,18.09,1.7,0.6,2.77,5.19,4.44,,7.48,829.0393694886462,,,,,,,,,900.0000000000001
109,,1.9500000000000002,1223.15,54.98,0.8,17.47,3.03,1.35,4.78,5.11,3.38,,8.62,1858.3297944093326,,,,,,,,,950.0000000000001
110,,2.0,1123.15,59.01,0.61,17.79,1.5,0.44,2.08,4.38,5.26,,7.99,520.6527441233045,,,,,,,,,850.0000000000001
111,,2.0,1123.15,59.79,0.56,17.93,1.33,0.4,2.28,4.31,4.94,,8.82,628.7883140566062,,,,,,,,,850.0000000000001
112,,2.02,1173.15,57.89,0.53,18.24,1.82,0.66,3.25,5.38,4.15,,8.3,1121.405910419425,,,,,,,,,900.0000000000001
113,,2.02,1173.15,59.51,0.45,18.28,1.69,0.76,2.56,4.99,4.56,,7.8,965.2100871824334,,,,,,,,,900.0000000000001
114,,1.7000000000000002,1223.15,57.6,0.6,17.91,2.28,1.07,4.25,5.11,3.7,,6.97,1389.7423246983587,,,,,,,,,950.0000000000001
115,,1.7000000000000002,1223.15,57.22,0.58,17.69,2.2,1.18,4.22,5.19,3.63,,7.12,1489.8678524143788,,,,,,,,,950.0000000000001
116,,2.02,1223.15,58.5,0.46,18.49,1.97,0.91,3.21,5.71,4.32,,7.71,1281.606754765057,,,,,,,,,950.0000000000001
117,,2.0,1123.15,65.36,0.34,14.86,1.41,0.52,1.54,4.04,2.25,,6.12,264.33139317029304,,,,,,,,,850.0000000000001
118,,2.0,1123.15,66.36,0.36,15.18,1.42,0.63,1.62,4.32,2.17,,6.56,276.34645649621547,,,,,,,,,850.0000000000001
119,,2.0,1173.15,63.3,0.61,16.64,1.95,1.3,2.45,5.01,1.84,,9.63,704.8837151207814,,,,,,,,,900.0000000000001
120,,2.0,1173.15,63.48,0.58,16.44,1.98,1.3,2.63,4.8,1.73,,7.86,684.8586095775775,,,,,,,,,900.0000000000001
121,,1.9500000000000002,1223.15,61.29,0.65,16.54,2.53,1.84,3.18,5.63,1.65,,6.74,1049.3155304638906,,,,,,,,,950.0000000000001
122,,2.0,1273.15,61.37,0.31,18.39,0.74,0.17,3.84,5.61,1.59,,6.89,1337.6770502860284,,,,,,,,,1000.0000000000001
123,,2.0,1123.15,66.68,0.35,14.64,0.7,0.19,0.81,3.61,2.99,,6.43,336.4217731258275,,,,,,,,,850.0000000000001
124,,2.0,1123.15,67.7,0.24,14.54,0.55,0.17,0.71,3.4,2.91,,7.63,356.4468786690315,,,,,,,,,850.0000000000001
125,,2.0,1173.15,66.19,0.28,14.98,0.74,0.2,0.85,3.74,2.95,,9.94,460.57742749369237,,,,,,,,,900.0000000000001
126,,2.0,1173.15,65.75,0.28,15.04,0.83,0.12,1.08,3.47,2.78,,9.69,500.6276385801003,,,,,,,,,900.0000000000001
127,,2.02,1223.15,62.4,0.43,16.75,1.86,1.71,2.58,5.59,1.75,,9.96,809.0142639454423,,,,,,,,,950.0000000000001
128,,2.0,1273.15,61.59,0.49,17.04,2.21,1.82,4.14,5.56,1.53,,10.53,1185.486248157678,,,,,,,,,1000.0000000000001
129,,2.0,1073.15,72.34,0.24,11.91,0.91,0.24,1.1,2.88,4.01,,6.74,68.08535884689366,,,,,,,,,800.0000000000001
130,,2.0,1073.15,71.35,0.32,12.13,1.14,0.31,1.44,2.99,3.81,,5.32,80.10042217281607,,,,,,,,,800.0000000000001
131,,1.7000000000000002,1123.15,67.13,0.39,13.65,1.59,0.6,2.19,3.37,3.29,,6.35,184.23097099747696,,,,,,,,,850.0000000000001
